Date,Short Volume,Total Volume
8/20/2015,42226,63627
8/21/2015,113198,165813
8/24/2015,158275,249972
8/25/2015,71984,121378
8/26/2015,75374,147836
8/27/2015,61678,90103
8/28/2015,47417,91926
8/31/2015,48153,75546
9/1/2015,61273,84225
9/2/2015,31786,46347
9/3/2015,39722,67610
9/4/2015,45491,64575
9/8/2015,38580,73870
9/9/2015,51504,74790
9/10/2015,31730,51246
9/11/2015,35367,51581
9/14/2015,32037,62792
9/15/2015,30989,58675
9/16/2015,21998,35439
9/17/2015,63195,89203
9/18/2015,54274,87770
9/21/2015,34568,50565
9/22/2015,52579,76763
9/23/2015,35585,52896
9/24/2015,33616,58345
9/25/2015,39445,87059
9/28/2015,41855,86579
9/29/2015,39900,80024
9/30/2015,52343,80612
10/1/2015,38190,70851
10/2/2015,61131,83561
10/5/2015,40448,61994
10/6/2015,41405,72041
10/7/2015,51585,89075
10/8/2015,39135,72244
10/9/2015,37229,70065
10/12/2015,23417,46955
10/13/2015,47376,79712
10/14/2015,37773,55023
10/15/2015,55538,73659
10/16/2015,29791,46478
10/19/2015,26161,43073
10/20/2015,39201,85731
10/21/2015,29854,76650
10/22/2015,54131,132869
10/23/2015,139153,209213
10/26/2015,48056,75406
10/27/2015,43080,55122
10/28/2015,28617,54654
10/29/2015,44000,63418
10/30/2015,37788,68260
11/2/2015,33586,62982
11/3/2015,28656,57411
11/4/2015,40018,70556
11/5/2015,54519,71904
11/6/2015,41621,77059
11/9/2015,49339,72231
11/10/2015,43064,56828
11/11/2015,64153,111990
11/12/2015,59457,107375
11/13/2015,85443,143861
11/16/2015,86099,150563
11/17/2015,43684,79314
11/18/2015,41397,86396
11/19/2015,52218,80385
11/20/2015,106362,165386
11/23/2015,43062,91224
11/24/2015,62104,120934
11/25/2015,24765,46550
11/27/2015,28486,43030
11/30/2015,42701,81708
12/1/2015,58288,110989
12/2/2015,54995,118716
12/3/2015,55145,102498
12/4/2015,59058,115712
12/7/2015,65300,155584
12/8/2015,40750,74100
12/9/2015,79337,150720
12/10/2015,44300,84215
12/11/2015,79650,126712
12/14/2015,79831,155654
12/15/2015,64691,139797
12/16/2015,106397,154791
12/17/2015,69075,101749
12/18/2015,101976,151727
12/21/2015,74352,108977
12/22/2015,59112,86138
12/23/2015,38127,67145
12/24/2015,15666,23265
12/28/2015,57194,77461
12/29/2015,72990,102956
12/30/2015,42355,62661
12/31/2015,58641,89335
1/4/2016,104368,159429
1/5/2016,65822,105016
1/6/2016,77505,131454
1/7/2016,118405,176511
1/8/2016,72752,111299
1/11/2016,78981,119289
1/12/2016,116733,150310
1/13/2016,107241,154942
1/14/2016,82996,133516
1/15/2016,102511,173669
1/19/2016,97946,147184
1/20/2016,191376,261740
1/21/2016,142310,190160
1/22/2016,127684,194852
1/25/2016,80246,116290
1/26/2016,68803,95495
1/27/2016,66382,102750
1/28/2016,129505,199258
1/29/2016,120655,200862
2/1/2016,106029,189427
2/2/2016,267908,392450
2/3/2016,238024,363508
2/4/2016,132406,240070
2/5/2016,200174,320466
2/8/2016,132163,226751
2/9/2016,174148,298473
2/10/2016,130319,231291
2/11/2016,135726,222661
2/12/2016,80189,144007
2/16/2016,74810,126949
2/17/2016,90176,157589
2/18/2016,59013,129591
2/19/2016,58907,98146
2/22/2016,53738,99805
2/23/2016,85194,126601
2/24/2016,58582,95106
2/25/2016,72975,115806
2/26/2016,86143,153719
2/29/2016,78905,130258
3/1/2016,115153,178321
3/2/2016,62015,120966
3/3/2016,82563,149460
3/4/2016,97510,177373
3/7/2016,107387,196379
3/8/2016,74737,149544
3/9/2016,87787,130892
3/10/2016,123484,181420
3/11/2016,97108,142567
3/14/2016,61625,92100
3/15/2016,55362,88941
3/16/2016,66954,101141
3/17/2016,91441,135047
3/18/2016,88179,136468
3/21/2016,54342,95741
3/22/2016,36558,61463
3/23/2016,55077,87553
3/24/2016,56956,100543
3/28/2016,38532,74062
3/29/2016,56008,104108
3/30/2016,69708,110830
3/31/2016,58371,111278
4/1/2016,70430,116205
4/4/2016,57006,82742
4/5/2016,61295,83600
4/6/2016,50631,75130
4/7/2016,55694,81206
4/8/2016,43723,71272
4/11/2016,62433,98999
4/12/2016,72399,118152
4/13/2016,77613,118677
4/14/2016,58340,95260
4/15/2016,73866,108995
4/18/2016,66313,118297
4/19/2016,98692,175546
4/20/2016,55365,102915
4/21/2016,136575,251974
4/22/2016,251509,417929
4/25/2016,120420,168162
4/26/2016,76852,161459
4/27/2016,139764,226873
4/28/2016,89704,188629
4/29/2016,112957,194087
5/2/2016,49989,103517
5/3/2016,53938,98037
5/4/2016,50807,88593
5/5/2016,51323,72744
5/6/2016,57679,123224
5/9/2016,58697,93708
5/10/2016,49207,91604
5/11/2016,66514,105699
5/12/2016,54966,87207
5/13/2016,67408,104989
5/16/2016,41988,76249
5/17/2016,75356,116920
5/18/2016,64833,108873
5/19/2016,48778,88589
5/20/2016,95445,172376
5/23/2016,41915,65417
5/24/2016,78672,155354
5/25/2016,59230,103238
5/26/2016,43137,81578
5/27/2016,82476,140197
5/31/2016,64391,114858
6/1/2016,33893,66639
6/2/2016,66109,115340
6/3/2016,60704,96155
6/6/2016,47006,84676
6/7/2016,33578,68445
6/8/2016,60434,114911
6/9/2016,34650,67200
6/10/2016,46796,92097
6/13/2016,47979,87237
6/14/2016,38343,78187
6/15/2016,37926,64507
6/16/2016,82953,149290
6/17/2016,140582,247892
6/20/2016,53522,112649
6/21/2016,48689,89588
6/22/2016,66119,113088
6/23/2016,67334,138016
6/24/2016,139733,276818
6/27/2016,96241,162335
6/28/2016,72097,117629
6/29/2016,62464,127634
6/30/2016,52322,100983
7/1/2016,75374,123418
7/5/2016,45892,83189
7/6/2016,54816,101054
7/7/2016,35902,63904
7/8/2016,73833,118946
7/11/2016,36675,72265
7/12/2016,52489,96845
7/13/2016,39817,74928
